IEE313,Microelectronica,Ingenieria Electronica
INF239,Sistemas Operativos,Ingenieria Informatica
IND361,Gestion de Rec. Humanos,Ingenieria Industrial
MAT251,Geometria,Matematicas
INF281,Lenguaje de Programacion 1,Ingenieria Informatica
QUI204,Quimica Inorganica 1,Ingenieria Quimica
CIV307,Concreto Armado 2,Ingenieria Civil
MEC206,Termodinamica 1,Ingenieria Mecanica
MEC348,Ingenieria de Combustibles,Ingenieria Mecanica
INF248,Sistemas de Informacion 1,Ingenieria Informatica
IND362,Mantenimiento Industrial,Ingenieria Industrial
IND350,Plan de Negocios,Ingenieria Industrial
MIN227,Topografia Minera,Ingenieria Minas
IEE203,Circuitos Analogicos,Ingenieria Electronica
FIS308,Mecanica Cuantica 1,Fisica
MEC299,Motores de Combustion,Ingenieria Mecanica
INF630,Base de Datos 2,Ingenieria Informatica
IEE213,Dibujo Electrotecnico,Ingenieria Electronica
IEE212,Circuitos Electricos 2,Ingenieria Electronica
MEC346,Corrosion,Ingenieria Mecanica
CIV308,Estructuras de Acero,Ingenieria Civil
MAT218,Ecuaciones Diferenciales,Matematicas
MIN266,Mecanica de Rocas,Ingenieria Minas
IND221,Automatizacion Industrial,Ingenieria Industrial
CIV224,Analisis Estructural 1,Ingenieria Civil
FIS366,Electroacustica,Fisica
QUI205,Quimica Inorganica 2,Ingenieria Quimica
CIV313,Puentes,Ingenieria Civil
IND213,Ingenieria de Plantas,Ingenieria Industrial
MIN269,Concentracion de Minerales,Ingenieria Minas
MAT253,Topologia,Matematicas
INF245,Ingenieria de Software,Ingenieria Informatica
CIV283,Instalaciones de Edif.,Ingenieria Civil
INF265,Ap. de Cs. de la Comp.,Ingenieria Informatica
FIS335,Acustica,Fisica
MIN260,Perforacion y Voladura,Ingenieria Minas
INF639,Proceso de  Software 1,Ingenieria Informatica
CIV364,Albanileria Estructural,Ingenieria Civil
