FECHA     RUC       CODIGO    NOMBRE                                            CANT SOL  CANT ATEND
20120310  22110500  1233      Gaseosa Koka Kola                                 20        20        
20120320  22110500  2525      Aceite Vegetal                                    20        20        
20120410  24121533  1002      Secador                                           50        0         
20120410  22110500  2526      Papel Higienico Suave Sense                       30        20        
20120412  22110500  1150      Pollo Entero                                      5         20        
20120412  21118080  22        Platos Plasticos                                  100       0         
20120502  22110500  2233      Cafe Tostado                                      20        20        
20120504  20101233  2344      Gaseosa Koka Kola Zero                            30        30        
20120510  22110500  1233      Gaseosa Koka Kola                                 20        20        
20120510  24121533  1233      Gaseosa Koka Kola                                 10        0         
20120510  20101233  2233      Cafe Tostado                                      20        30        
20120512  21118080  1002      Secador                                           100       0         
20120517  20101233  1233      Gaseosa Koka Kola                                 30        30        
20120520  22110500  250       Huevos Pardos                                     20        20        
20120521  20101888  22        Platos Plasticos                                  100       10        
20120602  20201873  2525      Aceite Vegetal                                    20        50        
20120602  21118080  8585      Harina preparada de trigo Blanca Nieve Especial   25        0         
20120602  20101000  1233      Gaseosa Koka Kola                                 20        20        
20120602  21034000  1233      Gaseosa Koka Kola                                 20        50        
20120604  20201873  8585      Harina preparada de trigo Blanca Nieve Especial   25        50        
20120610  20101233  2244      Galletas de Soda Sayon                            40        30        
20120611  20000511  2525      Aceite Vegetal                                    20        50        
20120612  21118080  2244      Galletas de Soda Sayon                            40        0         
20120612  20101888  1002      Secador                                           50        10        
20120614  20000511  22        Platos Plasticos                                  100       50        
20120615  20101233  250       Huevos Pardos                                     20        30        
20120615  24121533  250       Huevos Pardos                                     20        0         
20120615  20101888  8585      Harina preparada de trigo Blanca Nieve Especial   25        10        
20120617  20201873  1233      Gaseosa Koka Kola                                 20        50        
20120617  20201873  2233      Cafe Tostado                                      30        50        
20120618  24121533  2525      Aceite Vegetal                                    40        0         
20120620  24121533  2526      Papel Higienico Suave Sense                       20        0         
20120620  21118080  2233      Cafe Tostado                                      10        0         
20120621  24121533  1150      Pollo Entero                                      5         0         
20120622  24121533  2233      Cafe Tostado                                      40        0         
20120622  21118080  6955      Jarras de Ceramica China                          100       0         
20120628  20201873  2244      Galletas de Soda Sayon                            50        50        
20120630  24121533  1233      Gaseosa Koka Kola                                 20        0         
20120704  21034000  2344      Gaseosa Koka Kola Zero                            50        50        
20120705  20000511  2526      Papel Higienico Suave Sense                       40        50        
20120710  20101888  1150      Pollo Entero                                      10        10        
20120710  24121533  6955      Jarras de Ceramica China                          50        0         
20120710  20101233  2233      Cafe Tostado                                      20        30        
20120712  24121533  250       Huevos Pardos                                     40        0         
20120712  20000511  1150      Pollo Entero                                      10        50        
20120713  20101233  4545      Pan Integral 20 piezas                            20        30        
20120716  20000511  2233      Cafe Tostado                                      30        50        
20120716  20101888  2233      Cafe Tostado                                      30        10        
20120720  20101000  1233      Gaseosa Koka Kola                                 10        20        
20120804  21034000  2344      Gaseosa Koka Kola Zero                            50        50        
20120809  20000511  1233      Gaseosa Koka Kola                                 20        50        
20120810  20101233  1233      Gaseosa Koka Kola                                 50        30        
20120811  20000511  6955      Jarras de Ceramica China                          50        50        
20120814  20101233  2244      Galletas de Soda Sayon                            30        30        
20120815  20101233  250       Huevos Pardos                                     25        30        
20120819  20101000  2233      Cafe Tostado                                      10        20        
20120820  20101000  1233      Gaseosa Koka Kola                                 20        20        
20120825  20101233  1233      Gaseosa Koka Kola                                 20        30        
20120827  20101233  250       Huevos Pardos                                     30        30        
20120829  20101888  2233      Cafe Tostado                                      10        10        
20120830  20101888  2233      Cafe Tostado                                      10        10        
20120903  20101000  2244      Galletas de Soda Sayon                            30        20        
20120904  20101000  250       Huevos Pardos                                     20        20        
