201                 Leve                158.00                              0.50
151                 Grave               316.00                              0.25       100
151                 Grave               316.00                              0.25       100
115                 Grave               316.00                              0.25       200
127                 Grave               316.00                              0.25       100
321                 Muy Grave           474.00                                 0       500
135                 Grave               316.00                              0.25       100
339                 Muy Grave           0.00                                  12      2000
306                 Muy Grave           948.00                                 1       600
102                 Grave               316.00                              0.25       100
140                 Grave               316.00                              0.25       100
170                 Grave               316.00                              0.25       100
126                 Grave               316.00                              0.25       100
339                 Muy Grave           0.00                                  12      2000
128                 Grave               316.00                              0.25       100
320                 Muy Grave           711.00                                 1       600
329                 Muy Grave           474.00                                 0       500
330                 Muy Grave           474.00                                 0       500
323                 Muy Grave           474.00                                 0       500
318                 Muy Grave           474.00                                 0       500
134                 Grave               316.00                              0.25       100
153                 Grave               316.00                              0.25       100
132                 Grave               316.00                              0.25       100
319                 Muy Grave           474.00                                 0       500
131                 Grave               316.00                              0.25       200
162                 Grave               316.00                              0.25       100
331                 Muy Grave           474.00                                 0       500
305                 Muy Grave           1975.00                                3       800
335                 Muy Grave           474.00                                 0       500
124                 Grave               316.00                              0.25       100
158                 Grave               316.00                              0.25       100
104                 Grave               316.00                              0.25       100
341                 Muy Grave           5925.00                                6      2000
316                 Muy Grave           474.00                                 0       500
204                 Leve                158.00                              0.50
306                 Muy Grave           948.00                                 1       600
137                 Grave               316.00                              0.25       200
156                 Grave               316.00                              0.25       200
126                 Grave               316.00                              0.25       100
311                 Muy Grave           474.00                                 0       500
305                 Muy Grave           1975.00                                3       800
316                 Muy Grave           474.00                                 0       500
313                 Muy Grave           474.00                                 0       500
101                 Grave               316.00                              0.25       200
108                 Grave               316.00                              0.25       100
112                 Grave               316.00                              0.25       100
134                 Grave               316.00                              0.25       100
138                 Grave               316.00                              0.25       100
103                 Grave               316.00                              0.25       200
310                 Muy Grave           474.00                                 0       500
133                 Grave               316.00                              0.25       100
127                 Grave               316.00                              0.25       100
138                 Grave               316.00                              0.25       100
115                 Grave               316.00                              0.25       200
306                 Muy Grave           948.00                                 1       600
149                 Grave               316.00                              0.25       100
336                 Muy Grave           474.00                                 0       500
113                 Grave               316.00                              0.25       100
333                 Muy Grave           474.00                                 0       500
126                 Grave               316.00                              0.25       100
130                 Grave               316.00                              0.25       100
335                 Muy Grave           474.00                                 0       500
111                 Grave               316.00                              0.25       100
331                 Muy Grave           474.00                                 0       500
110                 Grave               316.00                              0.25       100
161                 Grave               316.00                              0.25       100
316                 Muy Grave           474.00                                 0       500
320                 Muy Grave           711.00                                 1       600
170                 Grave               316.00                              0.25       100
165                 Grave               316.00                              0.25       100
324                 Muy Grave           474.00                                 0       500
202                 Leve                158.00                              0.50
322                 Muy Grave           474.00                                 0       500
302                 Muy Grave           1975.00                                3       800
141                 Grave               316.00                              0.25       100
330                 Muy Grave           474.00                                 0       500
107                 Grave               316.00                              0.25       100
127                 Grave               316.00                              0.25       100
307                 Muy Grave           948.00                                 1       600
341                 Muy Grave           5925.00                                6      2000
122                 Grave               316.00                              0.25       100
322                 Muy Grave           474.00                                 0       500
112                 Grave               316.00                              0.25       100
207                 Leve                158.00                              0.50
159                 Grave               316.00                              0.25       100
329                 Muy Grave           474.00                                 0       500
325                 Muy Grave           474.00                                 0       500
332                 Muy Grave           474.00                                 0       500
320                 Muy Grave           711.00                                 1       600
159                 Grave               316.00                              0.25       100
329                 Muy Grave           474.00                                 0       500
136                 Grave               316.00                              0.25       100
334                 Muy Grave           474.00                                 0       500
306                 Muy Grave           948.00                                 1       600
133                 Grave               316.00                              0.25       100
314                 Muy Grave           474.00                                 0       500
106                 Grave               316.00                              0.25       100
159                 Grave               316.00                              0.25       100
117                 Grave               316.00                              0.25       100
108                 Grave               316.00                              0.25       100
110                 Grave               316.00                              0.25       100
124                 Grave               316.00                              0.25       100
201                 Leve                158.00                              0.50
129                 Grave               316.00                              0.25       100
334                 Muy Grave           474.00                                 0       500
335                 Muy Grave           474.00                                 0       500
122                 Grave               316.00                              0.25       100
127                 Grave               316.00                              0.25       100
161                 Grave               316.00                              0.25       100
112                 Grave               316.00                              0.25       100
149                 Grave               316.00                              0.25       100
163                 Grave               316.00                              0.25       100
166                 Grave               316.00                              0.25       100
136                 Grave               316.00                              0.25       100
144                 Grave               316.00                              0.25       100
305                 Muy Grave           1975.00                                3       800
333                 Muy Grave           474.00                                 0       500
111                 Grave               316.00                              0.25       100
114                 Grave               316.00                              0.25       100
126                 Grave               316.00                              0.25       100
142                 Grave               316.00                              0.25       100
148                 Grave               316.00                              0.25       100
328                 Muy Grave           474.00                                 0       500
134                 Grave               316.00                              0.25       100
329                 Muy Grave           474.00                                 0       500
152                 Grave               316.00                              0.25       100
122                 Grave               316.00                              0.25       100
148                 Grave               316.00                              0.25       100
123                 Grave               316.00                              0.25       100
101                 Grave               316.00                              0.25       200
315                 Muy Grave           474.00                                 0       500
330                 Muy Grave           474.00                                 0       500
108                 Grave               316.00                              0.25       100
125                 Grave               316.00                              0.25       100
101                 Grave               316.00                              0.25       200
325                 Muy Grave           474.00                                 0       500
315                 Muy Grave           474.00                                 0       500
170                 Grave               316.00                              0.25       100
319                 Muy Grave           474.00                                 0       500
336                 Muy Grave           474.00                                 0       500
144                 Grave               316.00                              0.25       100
333                 Muy Grave           474.00                                 0       500
104                 Grave               316.00                              0.25       100
124                 Grave               316.00                              0.25       100
137                 Grave               316.00                              0.25       200
146                 Grave               316.00                              0.25       100
151                 Grave               316.00                              0.25       100
142                 Grave               316.00                              0.25       100
145                 Grave               316.00                              0.25       100
207                 Leve                158.00                              0.50
134                 Grave               316.00                              0.25       100
156                 Grave               316.00                              0.25       200
135                 Grave               316.00                              0.25       100
118                 Grave               316.00                              0.25       100
153                 Grave               316.00                              0.25       100
124                 Grave               316.00                              0.25       100
122                 Grave               316.00                              0.25       100
115                 Grave               316.00                              0.25       200
325                 Muy Grave           474.00                                 0       500
330                 Muy Grave           474.00                                 0       500
304                 Muy Grave           3950.00                                6       100
139                 Grave               316.00                              0.25       100
114                 Grave               316.00                              0.25       100
311                 Muy Grave           474.00                                 0       500
130                 Grave               316.00                              0.25       100
112                 Grave               316.00                              0.25       100
119                 Grave               316.00                              0.25       100
334                 Muy Grave           474.00                                 0       500
116                 Grave               316.00                              0.25       100
138                 Grave               316.00                              0.25       100
318                 Muy Grave           474.00                                 0       500
206                 Leve                158.00                              0.50
130                 Grave               316.00                              0.25       100
321                 Muy Grave           474.00                                 0       500
147                 Grave               316.00                              0.25       100
332                 Muy Grave           474.00                                 0       500
143                 Grave               316.00                              0.25       100
315                 Muy Grave           474.00                                 0       500
323                 Muy Grave           474.00                                 0       500
207                 Leve                158.00                              0.50
205                 Leve                158.00                              0.50
121                 Grave               316.00                              0.25       200
123                 Grave               316.00                              0.25       100
338                 Muy Grave           0.00                                  12      2000
133                 Grave               316.00                              0.25       100
205                 Leve                158.00                              0.50
102                 Grave               316.00                              0.25       100
313                 Muy Grave           474.00                                 0       500
151                 Grave               316.00                              0.25       100
147                 Grave               316.00                              0.25       100
127                 Grave               316.00                              0.25       100
144                 Grave               316.00                              0.25       100
206                 Leve                158.00                              0.50
102                 Grave               316.00                              0.25       100
324                 Muy Grave           474.00                                 0       500
133                 Grave               316.00                              0.25       100
161                 Grave               316.00                              0.25       100
155                 Grave               316.00                              0.25       100
305                 Muy Grave           1975.00                                3       800
302                 Muy Grave           1975.00                                3       800
305                 Muy Grave           1975.00                                3       800
151                 Grave               316.00                              0.25       100
170                 Grave               316.00                              0.25       100
101                 Grave               316.00                              0.25       200
148                 Grave               316.00                              0.25       100
317                 Muy Grave           474.00                                 0       500
154                 Grave               316.00                              0.25       100
327                 Muy Grave           1975.00                                1       600
103                 Grave               316.00                              0.25       200
130                 Grave               316.00                              0.25       100
311                 Muy Grave           474.00                                 0       500
136                 Grave               316.00                              0.25       100
203                 Leve                158.00                              0.50
138                 Grave               316.00                              0.25       100
104                 Grave               316.00                              0.25       100
161                 Grave               316.00                              0.25       100
304                 Muy Grave           3950.00                                6       100
302                 Muy Grave           1975.00                                3       800
132                 Grave               316.00                              0.25       100
153                 Grave               316.00                              0.25       100
124                 Grave               316.00                              0.25       100
334                 Muy Grave           474.00                                 0       500
322                 Muy Grave           474.00                                 0       500
301                 Muy Grave           3950.00                                6      1000
157                 Grave               316.00                              0.25       100
120                 Grave               316.00                              0.25       100
